y_test,y_predicted
83.0,78.83
259.0,254.69
342.0,343.63
150.0,147.56
278.0,274.9
485.0,477.04
12.0,10.11
49.0,48.51
127.0,127.34
485.0,481.08
3.0,4.04
368.0,363.84
389.0,377.99
202.0,204.16
259.0,254.69
3.0,0.0
174.0,173.84
395.0,392.14
301.0,299.16
1.0,0.0
426.0,420.44
3.0,0.0
293.0,291.07
116.0,117.24
273.0,270.86
437.0,428.53
141.0,137.45
105.0,103.09
371.0,359.8
207.0,212.24
202.0,202.13
451.0,442.68
20.0,18.19
142.0,139.47
400.0,394.16
337.0,335.54
204.0,202.13
254.0,248.63
161.0,159.69
190.0,185.96
399.0,398.21
13.0,10.11
404.0,400.23
1.0,2.02
83.0,82.88
1.0,0.0
511.0,507.36
253.0,248.63
262.0,256.71
18.0,16.17
414.0,404.27
17.0,20.21
464.0,456.82
75.0,74.79
2.0,0.0
2.0,0.0
253.0,248.63
2.0,6.06
451.0,444.7
493.0,485.12
94.0,92.98
178.0,175.86
362.0,355.76
260.0,254.69
295.0,291.07
1.0,0.0
290.0,282.99
292.0,287.03
258.0,258.73
259.0,258.73
406.0,404.27
62.0,60.64
512.0,501.29
397.0,392.14
450.0,444.7
3.0,0.0
253.0,248.63
317.0,311.29
122.0,123.3
388.0,382.03
432.0,420.44
300.0,299.16
506.0,497.25
248.0,248.63
28.0,30.32
159.0,157.67
146.0,145.54
110.0,111.17
512.0,505.34
435.0,426.5
103.0,103.09
419.0,414.38
264.0,268.84
63.0,62.66
2.0,0.0
301.0,297.14
471.0,464.91
148.0,149.58
118.0,117.24
51.0,50.53
384.0,386.08
17.0,18.19
148.0,147.56
491.0,479.06
49.0,50.53
394.0,386.08
386.0,380.01
31.0,34.36
444.0,432.57
318.0,317.35
289.0,287.03
396.0,390.12
207.0,206.18
204.0,200.11
1.0,2.02
260.0,254.69
347.0,345.65
1.0,2.02
492.0,483.1
238.0,230.43
347.0,343.63
357.0,351.71
267.0,262.78
236.0,234.48
335.0,329.48
330.0,323.42
441.0,434.59
253.0,248.63
511.0,503.32
183.0,183.94
368.0,363.84
384.0,377.99
1.0,0.0
458.0,452.78
241.0,238.52
2.0,0.0
510.0,499.27
33.0,32.34
13.0,20.21
22.0,18.19
302.0,299.16
147.0,143.52
512.0,503.32
3.0,0.0
298.0,291.07
19.0,14.15
107.0,109.15
361.0,357.78
448.0,444.7
255.0,250.65
253.0,242.56
262.0,262.78
2.0,0.0
162.0,163.73
510.0,503.32
179.0,179.9
420.0,416.4
258.0,250.65
49.0,52.56
36.0,34.36
407.0,404.27
86.0,86.92
43.0,42.45
112.0,113.2
150.0,145.54
259.0,258.73
259.0,256.71
308.0,299.16
227.0,226.39
230.0,228.41
93.0,88.94
281.0,274.9
3.0,0.0
511.0,499.27
75.0,74.79
217.0,220.33
1.0,0.0
244.0,240.54
55.0,56.6
64.0,64.68
259.0,254.69
354.0,349.69
239.0,240.54
438.0,428.53
107.0,103.09
381.0,375.97
205.0,202.13
25.0,24.26
425.0,418.42
117.0,115.22
449.0,442.68
57.0,54.58
446.0,442.68
511.0,503.32
187.0,187.99
358.0,351.71
259.0,252.67
389.0,388.1
1.0,0.0
510.0,501.29
3.0,0.0
259.0,256.71
459.0,450.76
462.0,464.91
268.0,266.82
12.0,6.06
359.0,355.76
259.0,252.67
276.0,278.95
30.0,22.23
42.0,38.41
149.0,149.58
512.0,505.34
2.0,8.09
290.0,282.99
51.0,48.51
451.0,442.68
187.0,187.99
225.0,222.35
48.0,44.47
267.0,260.75
259.0,258.73
230.0,226.39
348.0,343.63
225.0,222.35
152.0,153.62
2.0,0.0
29.0,28.3
54.0,52.56
1.0,0.0
510.0,501.29
52.0,50.53
234.0,234.48
288.0,278.95
434.0,432.57
512.0,503.32
30.0,28.3
505.0,491.19
259.0,250.65
255.0,254.69
510.0,495.23
3.0,4.04
1.0,0.0
3.0,0.0
369.0,373.95
440.0,444.7
394.0,392.14
112.0,111.17
24.0,22.23
345.0,343.63
240.0,238.52
305.0,305.22
82.0,78.83
310.0,303.2
34.0,30.32
232.0,232.46
319.0,319.37
511.0,501.29
255.0,252.67
428.0,418.42
223.0,220.33
258.0,252.67
297.0,293.1
55.0,54.58
255.0,250.65
126.0,123.3
317.0,319.37
464.0,466.93
474.0,466.93
372.0,367.89
253.0,246.6
253.0,250.65
150.0,147.56
281.0,276.92
301.0,295.12
15.0,14.15
255.0,252.67
162.0,161.71
481.0,483.1
273.0,278.95
272.0,270.86
1.0,0.0
420.0,416.4
511.0,499.27
510.0,503.32
29.0,28.3
344.0,327.46
12.0,6.06
431.0,430.55
254.0,252.67
255.0,250.65
23.0,22.23
3.0,6.06
325.0,327.46
254.0,264.8
428.0,426.5
511.0,497.25
1.0,0.0
258.0,250.65
16.0,10.11
165.0,163.73
135.0,123.3
44.0,44.47
177.0,173.84
29.0,28.3
40.0,44.47
342.0,341.61
254.0,254.69
83.0,80.85
2.0,0.0
357.0,349.69
510.0,501.29
327.0,323.42
265.0,258.73
337.0,329.48
430.0,424.48
512.0,507.36
258.0,250.65
1.0,0.0
366.0,361.82
213.0,216.28
352.0,359.8
152.0,155.64
443.0,438.63
89.0,88.94
2.0,12.13
315.0,325.44
