y1_test,y_predicted
83.0,86.0
259.0,266.01
342.0,340.01
150.0,162.0
278.0,282.01
485.0,474.01
12.0,4.0
49.0,58.0
127.0,148.0
485.0,478.01
3.0,2.0
368.0,376.01
389.0,388.01
202.0,212.01
259.0,256.01
3.0,2.0
174.0,190.0
395.0,394.01
301.0,296.01
1.0,8.0
426.0,176.0
3.0,170.0
293.0,52.0
116.0,12.0
273.0,406.01
437.0,6.0
141.0,38.0
105.0,52.0
371.0,216.01
207.0,8.0
202.0,12.0
451.0,36.0
20.0,310.01
142.0,38.0
400.0,24.0
337.0,34.0
204.0,8.0
254.0,174.0
161.0,212.01
190.0,196.0
399.0,394.01
13.0,4.0
404.0,410.01
1.0,4.0
83.0,8.0
1.0,36.0
511.0,26.0
253.0,22.0
262.0,396.01
18.0,2.0
414.0,22.0
17.0,286.01
464.0,292.01
75.0,42.0
2.0,76.0
2.0,16.0
253.0,38.0
2.0,4.0
451.0,26.0
493.0,460.01
94.0,64.0
178.0,8.0
362.0,4.0
260.0,184.0
295.0,330.01
1.0,2.0
290.0,290.01
292.0,294.01
258.0,256.01
259.0,254.01
406.0,400.01
62.0,64.0
512.0,504.01
397.0,386.01
450.0,436.01
3.0,2.0
253.0,264.01
317.0,314.01
122.0,128.0
388.0,384.01
432.0,422.01
300.0,300.01
506.0,490.01
248.0,248.01
28.0,44.0
159.0,180.0
146.0,160.0
110.0,124.0
512.0,498.01
435.0,420.01
103.0,110.0
419.0,412.01
264.0,260.01
63.0,72.0
2.0,2.0
301.0,304.01
471.0,466.01
148.0,146.0
118.0,128.0
51.0,60.0
384.0,384.01
17.0,8.0
148.0,162.0
491.0,486.01
49.0,50.0
394.0,396.01
386.0,372.01
31.0,42.0
444.0,442.01
318.0,316.01
289.0,286.01
396.0,390.01
207.0,214.01
204.0,218.01
1.0,198.0
260.0,42.0
347.0,280.01
1.0,30.0
492.0,114.0
238.0,24.0
347.0,70.0
357.0,52.0
267.0,24.0
236.0,24.0
335.0,4.0
330.0,16.0
441.0,328.01
253.0,40.0
511.0,158.0
183.0,6.0
368.0,22.0
384.0,8.0
1.0,12.0
458.0,200.0
241.0,208.01
2.0,30.0
510.0,18.0
33.0,36.0
13.0,4.0
22.0,16.0
302.0,302.01
147.0,156.0
512.0,492.01
3.0,2.0
298.0,298.01
19.0,4.0
107.0,124.0
361.0,362.01
448.0,436.01
255.0,254.01
253.0,256.01
262.0,270.01
2.0,2.0
162.0,182.0
510.0,34.0
179.0,8.0
420.0,20.0
258.0,16.0
49.0,44.0
36.0,10.0
407.0,26.0
86.0,38.0
43.0,12.0
112.0,428.01
150.0,34.0
259.0,72.0
259.0,328.01
308.0,118.0
227.0,4.0
230.0,278.01
93.0,340.01
281.0,332.01
3.0,2.0
511.0,20.0
75.0,72.0
217.0,232.01
1.0,412.01
244.0,16.0
55.0,46.0
64.0,310.01
259.0,350.01
354.0,26.0
239.0,16.0
438.0,62.0
107.0,332.01
381.0,18.0
205.0,70.0
25.0,174.0
425.0,6.0
117.0,18.0
449.0,14.0
57.0,84.0
446.0,24.0
511.0,20.0
187.0,282.01
358.0,94.0
259.0,256.01
389.0,378.01
1.0,2.0
510.0,506.01
3.0,2.0
259.0,268.01
459.0,450.01
462.0,440.01
268.0,268.01
12.0,4.0
359.0,366.01
259.0,254.01
276.0,278.01
30.0,40.0
42.0,56.0
149.0,162.0
512.0,502.01
2.0,2.0
290.0,294.01
51.0,50.0
451.0,448.01
187.0,198.0
225.0,232.01
48.0,52.0
267.0,268.01
259.0,256.01
230.0,240.01
348.0,346.01
225.0,234.01
152.0,170.0
2.0,2.0
29.0,42.0
54.0,68.0
1.0,14.0
510.0,26.0
52.0,440.01
234.0,50.0
288.0,10.0
434.0,30.0
512.0,22.0
30.0,94.0
505.0,4.0
259.0,14.0
255.0,64.0
510.0,100.0
3.0,24.0
1.0,62.0
3.0,28.0
369.0,34.0
440.0,162.0
394.0,18.0
112.0,34.0
24.0,340.01
345.0,254.01
240.0,18.0
305.0,450.01
82.0,350.01
310.0,32.0
34.0,296.01
232.0,60.0
319.0,56.0
511.0,442.01
255.0,246.01
428.0,418.01
223.0,228.01
258.0,262.01
297.0,302.01
55.0,60.0
255.0,266.01
126.0,136.0
317.0,320.01
464.0,456.01
474.0,458.01
372.0,362.01
253.0,250.01
253.0,250.01
150.0,152.0
281.0,280.01
301.0,304.01
15.0,4.0
255.0,272.01
162.0,172.0
481.0,476.01
273.0,268.01
272.0,272.01
1.0,2.0
420.0,424.01
511.0,492.01
510.0,480.01
29.0,34.0
344.0,342.01
12.0,4.0
431.0,426.01
254.0,250.01
255.0,252.01
23.0,16.0
3.0,4.0
325.0,328.01
254.0,250.01
428.0,418.01
511.0,486.01
1.0,2.0
258.0,252.01
16.0,4.0
165.0,182.0
135.0,148.0
44.0,56.0
177.0,192.0
29.0,38.0
40.0,50.0
342.0,340.01
254.0,252.01
83.0,84.0
2.0,4.0
357.0,362.01
510.0,492.01
327.0,314.01
265.0,24.0
337.0,52.0
430.0,262.01
512.0,50.0
258.0,72.0
1.0,48.0
366.0,22.0
213.0,24.0
352.0,50.0
152.0,36.0
443.0,230.01
89.0,338.01
2.0,320.01
315.0,46.0
302.0,204.01
5.0,354.01
144.0,16.0
142.0,118.0
260.0,26.0
144.0,26.0
2.0,2.0
238.0,246.01
206.0,220.01
328.0,330.01
347.0,342.01
59.0,68.0
1.0,4.0
255.0,270.01
512.0,502.01
253.0,250.01
152.0,158.0
494.0,490.01
30.0,36.0
414.0,416.01
254.0,254.01
179.0,186.0
119.0,130.0
226.0,234.01
467.0,462.01
503.0,486.01
404.0,390.01
99.0,102.0
283.0,284.01
205.0,214.01
65.0,66.0
334.0,334.01
510.0,488.01
442.0,422.01
255.0,254.01
111.0,114.0
295.0,298.01
111.0,116.0
265.0,278.01
88.0,92.0
177.0,190.0
2.0,2.0
151.0,170.0
464.0,460.01
2.0,2.0
512.0,502.01
487.0,474.01
98.0,92.0
253.0,258.01
233.0,238.01
361.0,356.01
98.0,110.0
498.0,488.01
1.0,2.0
415.0,408.01
258.0,256.01
324.0,322.01
5.0,4.0
235.0,250.01
5.0,2.0
253.0,262.01
258.0,252.01
212.0,222.01
112.0,116.0
178.0,192.0
110.0,116.0
340.0,336.01
259.0,258.01
35.0,46.0
210.0,222.01
53.0,64.0
336.0,340.01
187.0,192.0
121.0,128.0
19.0,30.0
260.0,270.01
385.0,380.01
332.0,328.01
181.0,192.0
79.0,88.0
223.0,240.01
433.0,430.01
92.0,96.0
3.0,2.0
61.0,74.0
157.0,164.0
510.0,502.01
170.0,174.0
253.0,252.01
311.0,304.01
92.0,90.0
242.0,256.01
339.0,342.01
414.0,412.01
216.0,228.01
129.0,134.0
324.0,322.01
426.0,414.01
196.0,204.01
427.0,420.01
150.0,150.0
442.0,432.01
35.0,44.0
264.0,274.01
477.0,472.01
1.0,2.0
203.0,224.01
427.0,424.01
58.0,56.0
184.0,202.01
