y1_test,y_predicted
83.0,90.61
259.0,247.67
342.0,338.29
150.0,151.02
278.0,275.86
485.0,479.24
12.0,14.1
49.0,50.34
127.0,128.87
485.0,473.2
3.0,4.03
368.0,366.48
389.0,394.67
202.0,205.39
259.0,265.8
3.0,4.03
174.0,171.16
395.0,392.65
301.0,310.1
1.0,38.26
426.0,211.43
3.0,213.44
293.0,30.2
116.0,38.26
273.0,457.09
437.0,40.27
141.0,36.24
105.0,32.22
371.0,271.84
207.0,40.27
202.0,40.27
451.0,40.27
20.0,408.76
142.0,90.61
400.0,36.24
337.0,36.24
204.0,34.23
254.0,199.35
161.0,267.81
190.0,191.29
399.0,390.64
13.0,18.12
404.0,394.67
1.0,32.22
83.0,36.24
1.0,36.24
511.0,46.31
253.0,32.22
262.0,495.35
18.0,38.26
414.0,38.26
17.0,328.22
464.0,358.42
75.0,32.22
2.0,76.52
2.0,38.26
253.0,28.19
2.0,38.26
451.0,32.22
493.0,513.47
94.0,94.64
178.0,36.24
362.0,32.22
260.0,235.59
295.0,430.91
1.0,6.04
290.0,291.97
292.0,293.99
258.0,255.73
259.0,267.81
406.0,406.75
62.0,68.46
512.0,497.36
397.0,394.67
450.0,442.99
3.0,4.03
253.0,259.76
317.0,308.08
122.0,116.79
388.0,390.64
432.0,428.9
300.0,293.99
506.0,493.33
248.0,245.66
28.0,30.2
159.0,157.06
146.0,151.02
110.0,110.75
512.0,495.35
435.0,434.94
103.0,102.69
419.0,412.79
264.0,267.81
63.0,64.44
2.0,4.03
301.0,306.07
471.0,467.16
148.0,149.01
118.0,126.86
51.0,52.35
384.0,378.56
17.0,18.12
148.0,153.03
491.0,479.24
49.0,52.35
394.0,394.67
386.0,382.59
31.0,28.19
444.0,438.97
318.0,316.14
289.0,289.96
396.0,392.65
207.0,211.43
204.0,213.44
1.0,251.7
260.0,44.3
347.0,338.29
1.0,32.22
492.0,128.87
238.0,28.19
347.0,26.18
357.0,32.22
267.0,32.22
236.0,28.19
335.0,46.31
330.0,32.22
441.0,404.74
253.0,46.31
511.0,205.39
183.0,46.31
368.0,38.26
384.0,32.22
1.0,40.27
458.0,207.4
241.0,275.86
2.0,42.29
510.0,36.24
33.0,36.24
13.0,18.12
22.0,30.2
302.0,304.05
147.0,146.99
512.0,493.33
3.0,4.03
298.0,296.0
19.0,16.11
107.0,108.73
361.0,364.46
448.0,442.99
255.0,259.76
253.0,257.74
262.0,259.76
2.0,6.04
162.0,159.08
510.0,36.24
179.0,16.11
420.0,34.23
258.0,26.18
49.0,36.24
36.0,34.23
407.0,36.24
86.0,40.27
43.0,42.29
112.0,501.39
150.0,34.23
259.0,32.22
259.0,388.63
308.0,195.32
227.0,36.24
230.0,324.19
93.0,414.8
281.0,422.86
3.0,38.26
511.0,28.19
75.0,80.54
217.0,221.5
1.0,513.47
244.0,44.3
55.0,20.14
64.0,322.18
259.0,447.02
354.0,42.29
239.0,42.29
438.0,76.52
107.0,426.89
381.0,38.26
205.0,30.2
25.0,207.4
425.0,26.18
117.0,38.26
449.0,44.3
57.0,122.83
446.0,50.34
511.0,34.23
187.0,332.25
358.0,149.01
259.0,251.7
389.0,384.6
1.0,4.03
510.0,485.28
3.0,4.03
259.0,255.73
459.0,461.12
462.0,449.03
268.0,269.82
12.0,10.07
359.0,358.42
259.0,255.73
276.0,269.82
30.0,32.22
42.0,44.3
149.0,146.99
512.0,505.42
2.0,2.01
290.0,291.97
51.0,52.35
451.0,440.98
187.0,181.22
225.0,229.55
48.0,58.39
267.0,271.84
259.0,267.81
230.0,233.58
348.0,348.35
225.0,225.52
152.0,153.03
2.0,4.03
29.0,32.22
54.0,62.42
1.0,34.23
510.0,20.14
52.0,513.47
234.0,28.19
288.0,34.23
434.0,44.3
512.0,22.15
30.0,138.94
505.0,50.34
259.0,32.22
255.0,42.29
510.0,138.94
3.0,36.24
1.0,40.27
3.0,44.3
369.0,42.29
440.0,195.32
394.0,38.26
112.0,26.18
24.0,414.8
345.0,336.27
240.0,38.26
305.0,509.44
82.0,412.79
310.0,32.22
34.0,320.16
232.0,36.24
319.0,30.2
511.0,503.4
255.0,259.76
428.0,424.87
223.0,225.52
258.0,257.74
297.0,298.01
55.0,60.41
255.0,257.74
126.0,130.88
317.0,328.22
464.0,463.13
474.0,467.16
372.0,376.54
253.0,247.67
253.0,259.76
150.0,153.03
281.0,281.91
301.0,306.07
15.0,20.14
255.0,265.8
162.0,157.06
481.0,477.23
273.0,277.88
272.0,277.88
1.0,4.03
420.0,418.83
511.0,493.33
510.0,487.29
29.0,30.2
344.0,352.38
12.0,12.08
431.0,424.87
254.0,261.77
255.0,257.74
23.0,34.23
3.0,4.03
325.0,330.23
254.0,257.74
428.0,424.87
511.0,505.42
1.0,4.03
258.0,259.76
16.0,14.1
165.0,165.12
135.0,134.91
44.0,46.31
177.0,179.21
29.0,34.23
40.0,50.34
342.0,338.29
254.0,247.67
83.0,88.6
2.0,4.03
357.0,354.4
510.0,497.36
327.0,336.27
265.0,36.24
337.0,90.61
430.0,324.19
512.0,102.69
258.0,114.78
1.0,30.2
366.0,30.2
213.0,30.2
352.0,34.23
152.0,40.27
443.0,273.85
89.0,420.84
2.0,384.6
315.0,40.27
302.0,255.73
5.0,467.16
144.0,82.56
142.0,159.08
260.0,32.22
144.0,60.41
2.0,4.03
238.0,235.59
206.0,209.42
328.0,332.25
347.0,350.37
59.0,58.39
1.0,6.04
255.0,255.73
512.0,501.39
253.0,257.74
152.0,155.05
494.0,483.27
30.0,32.22
414.0,408.76
254.0,263.78
179.0,183.24
119.0,118.8
226.0,227.54
467.0,459.1
503.0,487.29
404.0,408.76
99.0,104.71
283.0,289.96
205.0,215.46
65.0,68.46
334.0,342.31
510.0,505.42
442.0,434.94
255.0,259.76
111.0,112.76
295.0,302.04
111.0,112.76
265.0,271.84
88.0,88.6
177.0,177.2
2.0,4.03
151.0,157.06
464.0,461.12
2.0,6.04
512.0,489.31
487.0,479.24
98.0,96.65
253.0,259.76
233.0,233.58
361.0,362.45
98.0,96.65
498.0,491.32
1.0,4.03
415.0,406.75
258.0,267.81
324.0,324.19
5.0,8.05
235.0,241.63
5.0,12.08
253.0,253.71
258.0,261.77
212.0,219.48
112.0,118.8
178.0,185.25
110.0,106.72
340.0,332.25
259.0,251.7
35.0,50.34
210.0,213.44
53.0,60.41
336.0,336.27
187.0,189.28
121.0,120.82
19.0,18.12
260.0,257.74
385.0,384.6
332.0,334.26
181.0,183.24
79.0,86.59
223.0,225.52
433.0,428.9
92.0,90.61
3.0,4.03
61.0,66.45
157.0,159.08
510.0,491.32
170.0,171.16
253.0,257.74
311.0,312.11
92.0,98.67
242.0,245.66
339.0,336.27
414.0,410.78
216.0,229.55
129.0,126.86
324.0,328.22
426.0,420.84
196.0,207.4
427.0,428.9
150.0,149.01
442.0,438.97
35.0,34.23
264.0,267.81
477.0,473.2
1.0,4.03
203.0,215.46
427.0,422.86
58.0,64.44
184.0,189.28
340.0,342.31
512.0,495.35
56.0,56.38
359.0,362.45
259.0,269.82
259.0,251.7
8.0,10.07
255.0,259.76
151.0,151.02
259.0,394.67
466.0,42.29
249.0,36.24
30.0,398.69
260.0,436.95
77.0,36.24
338.0,60.41
3.0,32.22
41.0,22.15
142.0,36.24
430.0,414.8
119.0,38.26
500.0,34.23
255.0,30.2
471.0,38.26
3.0,32.22
93.0,120.82
465.0,34.23
357.0,62.42
511.0,36.24
